id;name;asset_class;alternative_name;decimals;display_decimals;last_checked
1;Washington;Research;invoice;26616;65394;2022-10-24T21:14:18
2;Expanded Programmable overriding;payment;syndicate Prairie;79079;27125;2022-10-25T06:51:32
3;Accountability FTP strategize;Personal Fresh Cotton;online;65555;43486;2022-10-25T00:24:05
4;solid;clicks-and-mortar;capacitor Granite;51752;40309;2022-10-25T00:13:04
5;Lithuania maroon;Gorgeous;Toys XSS e-commerce;48111;90717;2022-10-25T05:32:23
6;Niue generation Music;Ergonomic;capacitor neutral Division;42548;67915;2022-10-24T15:03:45
7;Small Borders Avon;Money digital deposit;withdrawal Implementation digital;85603;41014;2022-10-24T11:48:50
8;pixel;Manager;Planner Cotton Fresh;4485;81916;2022-10-24T10:19:00
9;Avon Glens Path;static synthesize Soft;Kwacha Utah leverage;62674;55504;2022-10-24T19:42:43
10;adapter Concrete Savings;Islands Sports Loan;Account functionalities;43977;27846;2022-10-24T11:53:56
