id;name;last;disabled;chart_id
1;Sports Pine;2022-10-24T08:46:08;true;1
2;invoice Accounts virtual;2022-10-24T11:40:49;false;2
3;models;2022-10-25T05:13:14;false;3
4;Assurance optical;2022-10-25T06:39:07;true;4
5;eyeballs Colorado;2022-10-24T08:41:22;false;5
6;Designer;2022-10-24T13:56:39;false;6
7;ability Cambridgeshire Seychelles;2022-10-25T06:25:36;false;7
8;Avon challenge;2022-10-24T22:35:46;false;8
9;synthesizing Bike Marketing;2022-10-25T04:10:41;false;9
10;one-to-one transmit;2022-10-24T14:23:49;false;10
