id;time;open;high;low;close;volume_weighted_average_price;volume;count;chart_id
1;2022-10-24T09:14:45;56117;9035;78570;12377;60705;11018;90430;1
2;2022-10-24T18:11:44;65162;33891;26210;9712;34402;67369;34581;2
3;2022-10-24T14:25:47;52801;80136;62232;95654;89482;75861;25883;3
4;2022-10-25T07:14:11;81699;90855;88743;18842;9253;3942;64960;4
5;2022-10-24T17:07:14;20589;43446;73840;20973;98245;45813;18021;5
6;2022-10-25T02:37:27;65227;97606;75174;91950;56425;94245;90125;6
7;2022-10-24T09:01:21;89139;96251;38663;88018;94531;7046;8005;7
8;2022-10-24T19:02:58;39978;19479;56892;80276;98607;73127;26621;8
9;2022-10-25T03:33:07;7992;43760;56677;31044;37082;22663;56737;9
10;2022-10-25T00:27:01;54998;11689;85041;58546;17498;26847;73227;10
