id;name;altname;web_socket_pair_name;lot;pair_decimal;lot_decimals;lot_multiplier;base_id;quote_id
1;Common override;Devolved Avon;Fresh;auxiliary;71697;93590;96735;1;1
2;Customer-focused Orchestrator withdrawal;JBOD Streets;Steel Factors Account;Kids;28863;92059;72441;2;2
3;calculating overriding turquoise;Australian Wooden;Borders;PCI didactic;61816;61338;76579;3;3
4;matrix Chips;Executive;Clothing Digitized Mauritius;Credit Managed upward-trending;26352;78535;60392;4;4
5;XML monitoring payment;Computers Borders;index;protocol Latvia Configuration;29921;89863;57493;5;5
6;Metrics protocol;Assurance Switchable Solutions;Metal indexing;implement RAM compress;94956;78443;94444;6;6
7;Georgia;monetize deposit;solid bus Multi-layered;Agent;25412;16265;47834;7;7
8;hacking Innovative;uniform Coordinator;Handcrafted green yellow;input digital Steel;61312;72631;53083;8;8
9;calculate;index Chair;syndicate fuchsia Bacon;Maine Books Rial;95141;50331;79408;9;9
10;online Generic;XML;Pine Awesome;Wooden synergy transform;55235;28667;28215;10;10
